"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Login with wrong password","441","Login with wrong password","tests","Fri Apr 24 21:43:55 UTC 2026","passed","Fri Apr 24 21:43:55 UTC 2026","","test_login_page","",""
"Attempt to login with locked user, should show correct message","457","Login with locked user","tests","Fri Apr 24 21:43:56 UTC 2026","passed","Fri Apr 24 21:43:56 UTC 2026","","test_login_page","",""
"Login with wrong password","600","Login with wrong password","tests","Fri Apr 24 21:43:54 UTC 2026","passed","Fri Apr 24 21:43:54 UTC 2026","","test_login_page","",""
