"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Login with wrong password","531","Login with wrong password","tests","Fri Apr 24 21:48:20 UTC 2026","passed","Fri Apr 24 21:48:20 UTC 2026","","test_login_page","",""
"Attempt to login with locked user, should show correct message","495","Login with locked user","tests","Fri Apr 24 21:48:22 UTC 2026","passed","Fri Apr 24 21:48:22 UTC 2026","","test_login_page","",""
"Login with wrong password","532","Login with wrong password","tests","Fri Apr 24 21:48:21 UTC 2026","passed","Fri Apr 24 21:48:21 UTC 2026","","test_login_page","",""
