"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Login","0","Feature_3","3","0","Story_C","0"
"0","Login","0","Feature_3","1","0","Story_A","0"
"0","Sale","0","Feature_2","1","0","Story_A","0"
"0","Add2Cart","0","Feature_1","1","0","Story_A","0"
