"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Login with wrong password","496","Login with wrong password","tests","Fri Apr 24 22:49:46 UTC 2026","passed","Fri Apr 24 22:49:47 UTC 2026","","test_login_page","",""
"Login with wrong password","480","Login with wrong password","tests","Fri Apr 24 22:49:45 UTC 2026","passed","Fri Apr 24 22:49:46 UTC 2026","","test_login_page","",""
"Login with wrong password","511","Login with wrong password","tests","Fri Apr 24 22:49:47 UTC 2026","passed","Fri Apr 24 22:49:47 UTC 2026","","test_login_page","",""
"Attempt to login with locked user, should show correct message","493","Login with locked user","tests","Fri Apr 24 22:49:48 UTC 2026","passed","Fri Apr 24 22:49:48 UTC 2026","","test_login_page","",""
"","619","Check Sale page is visible","tests","Fri Apr 24 22:49:49 UTC 2026","passed","Fri Apr 24 22:49:49 UTC 2026","","test_sale_page","",""
"","1589","Check Add to Card button is enabled ","tests","Fri Apr 24 22:49:43 UTC 2026","passed","Fri Apr 24 22:49:45 UTC 2026","","test_add_to_cart","",""
