"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Login with wrong password","5488","Login with wrong password","tests","Fri Apr 24 22:18:56 UTC 2026","broken","Fri Apr 24 22:19:01 UTC 2026","","test_login_page","",""
"","1592","Check Add to Card button is enabled ","tests","Fri Apr 24 22:18:53 UTC 2026","passed","Fri Apr 24 22:18:55 UTC 2026","","test_add_to_cart","",""
"Login with wrong password","466","Login with wrong password","tests","Fri Apr 24 22:19:02 UTC 2026","passed","Fri Apr 24 22:19:02 UTC 2026","","test_login_page","",""
"Attempt to login with locked user, should show correct message","473","Login with locked user","tests","Fri Apr 24 22:19:03 UTC 2026","passed","Fri Apr 24 22:19:03 UTC 2026","","test_login_page","",""
"Login with wrong password","468","Login with wrong password","tests","Fri Apr 24 22:18:55 UTC 2026","passed","Fri Apr 24 22:18:56 UTC 2026","","test_login_page","",""
"","605","Check Sale page is visible","tests","Fri Apr 24 22:19:04 UTC 2026","passed","Fri Apr 24 22:19:04 UTC 2026","","test_sale_page","",""
